identity,name,parentId,type,parentNodeType,weight,parentRelation
SPRING:8,List,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:9,Name,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:10,Recall,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:11,Record,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:12,Manage,SPRING:2,term,Knowledge,2,counterIndicatorOf
SPRING:13,Repeat,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:14,State,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:15,Tell,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:16,Define,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:17,Duplicate,SPRING:2,term,Knowledge,5,indicatorOf
SPRING:18,Label,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:19,reply,SPRING:2,term,Knowledge,5,indicatorOf
SPRING:20,Match,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:21,Memorize,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:22,fundamental,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:23,Order,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:24,Outline,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:25,Recognize,SPRING:2,term,Knowledge,3,counterIndicatorOf
SPRING:26,Count,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:27,Describe,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:28,Enumerate,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:29,Find,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:30,Quote,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:31,Read,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:32,select,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:33,Recite,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:34,Reproduce,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:35,Sequence,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:36,State,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:37,View,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:38,Write,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:39,Locate,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:40,Identify,SPRING:2,term,Knowledge,3,counterIndicatorOf
SPRING:41,Tell,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:42,Compare,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:43,Describe,SPRING:3,term,Comprehension,5,counterIndicatorOf
SPRING:44,Discuss,SPRING:3,term,Comprehension,7,indicatorOf
SPRING:45,Explain,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:46,Express,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:47,Identify,SPRING:3,term,Comprehension,7,indicatorOf
SPRING:48,Reconize,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:49,Restate,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:50,Tell,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:51,Translate,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:52,Classify,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:53,Convert,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:54,Defend,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:55,Generalized,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:54,Example,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:55,Indicate,SPRING:3,term,Comprehension,7,indicatorOf
SPRING:56,Paraphrase,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:57,Predict,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:58,Rewrite,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:59,Review,SPRING:3,term,Comprehension,8,indicatorOf
SPRING:60,Summarize,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:61,Tell,SPRING:3,term,Comprehension,4,counterIndicatorOf
SPRING:62,Outline,SPRING:3,term,Comprehension,5,counterIndicatorOf
SPRING:63,Recognize,SPRING:3,term,Comprehension,9,indicatorOf
SPRING:64,Describe,SPRING:3,term,Comprehension,4,counterIndicatorOf
SPRING:65,select,SPRING:3,term,Comprehension,4,counterIndicatorOf
SPRING:66,Infer,SPRING:3,term,Comprehension,5,counterIndicatorOf
SPRING:67,Rewrite,SPRING:3,term,Comprehension,6,counterIndicatorOf
SPRING:68,Apply,SPRING:4,term,Application,9,indicatorOf
SPRING:69,Complete,SPRING:4,term,Application,7,indicatorOf
SPRING:70,Construct ,SPRING:4,term,Application,8,indicatorOf
SPRING:71,Demonstrate,SPRING:4,term,Application,8,indicatorOf
SPRING:72,Dramatize,SPRING:4,term,Application,7,indicatorOf
SPRING:73,Employ,SPRING:4,term,Application,6,indicatorOf
SPRING:74,Illustrate,SPRING:4,term,Application,8,indicatorOf
SPRING:75,Interpret,SPRING:4,term,Application,9,indicatorOf
SPRING:76,Operate,SPRING:4,term,Application,7,indicatorOf
SPRING:77,Practice,SPRING:4,term,Application,8,indicatorOf
SPRING:78,Schedule,SPRING:4,term,Application,8,indicatorOf
SPRING:79,Sketch,SPRING:4,term,Application,7,indicatorOf
SPRING:80,Use,SPRING:4,term,Application,6,indicatorOf
SPRING:81,Change,SPRING:4,term,Application,8,indicatorOf
SPRING:82,Compute,SPRING:4,term,Application,9,indicatorOf
SPRING:83,Discover,SPRING:4,term,Application,8,indicatorOf
SPRING:84,Manipulate,SPRING:4,term,Application,9,indicatorOf
SPRING:85,Modify,SPRING:4,term,Application,7,indicatorOf
SPRING:86,Show,SPRING:4,term,Application,7,indicatorOf
SPRING:87,List,SPRING:4,term,Application,2,counterIndicatorOf
SPRING:88,Write,SPRING:4,term,Application,8,indicatorOf
SPRING:89,Classify,SPRING:4,term,Application,5,counterIndicatorOf
SPRING:90,Analyze,SPRING:5,term,Analysis,9,indicatorOf
SPRING:91,Appraise,SPRING:5,term,Analysis,8,indicatorOf
SPRING:92,Categorize,SPRING:5,term,Analysis,8,indicatorOf
SPRING:93,Compare,SPRING:5,term,Analysis,6,indicatorOf
SPRING:94,Contrast,SPRING:5,term,Analysis,7,indicatorOf
SPRING:95,Debate,SPRING:5,term,Analysis,6,indicatorOf
SPRING:96,Diagram,SPRING:5,term,Analysis,7,indicatorOf
SPRING:97,Differentiate,SPRING:5,term,Analysis,8,indicatorOf
SPRING:98,Distinguish,SPRING:5,term,Analysis,9,indicatorOf
SPRING:99,Examine,SPRING:5,term,Analysis,8,indicatorOf
SPRING:100,Experiment,SPRING:5,term,Analysis,9,indicatorOf
SPRING:101,Inspect,SPRING:5,term,Analysis,8,indicatorOf
SPRING:102,Inventory,SPRING:5,term,Analysis,7,indicatorOf
SPRING:103,Question,SPRING:5,term,Analysis,7,indicatorOf
SPRING:104,Test,SPRING:5,term,Analysis,8,indicatorOf
SPRING:105,Calculate,SPRING:5,term,Analysis,7,indicatorOf
SPRING:106,Discriminate,SPRING:5,term,Analysis,6,indicatorOf
SPRING:107,Point out,SPRING:5,term,Analysis,8,indicatorOf
SPRING:108,Separate,SPRING:5,term,Analysis,9,indicatorOf
SPRING:109,Subdivide,SPRING:5,term,Analysis,7,indicatorOf
SPRING:110,Test,SPRING:5,term,Analysis,8,indicatorOf
SPRING:111,Outline,SPRING:5,term,Analysis,3,counterIndicatorOf
SPRING:112,Recognize,SPRING:5,term,Analysis,5,counterIndicatorOf
SPRING:113,select,SPRING:5,term,Analysis,7,indicatorOf
SPRING:114,Explain,SPRING:5,term,Analysis,3,counterIndicatorOf
SPRING:115,Identify,SPRING:5,term,Analysis,4,counterIndicatorOf
SPRING:116,Classify,SPRING:5,term,Analysis,5,counterIndicatorOf
SPRING:117,Infer,SPRING:5,term,Analysis,8,indicatorOf
SPRING:118,Illustrate,SPRING:5,term,Analysis,4,indicatorOf
SPRING:119,Arrange,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:120,Assemble ,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:121,Collect,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:122,Combine,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:123,Comply,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:124,Compose,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:125,Construct,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:126,Create,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:127,Design,SPRING:6,term,Synthesis,6,indicatorOf
SPRING:128,Devise,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:129,Formulate,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:130,Manage,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:131,Organize,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:132,Plan,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:133,Prepare,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:134,Propose,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:135,Setup,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:136,Generate,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:137,Rearrange,SPRING:6,term,Synthesis,9,indicatorOf
SPRING:138,Reconstruct,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:139,Reorganize,SPRING:6,term,Synthesis,8,indicatorOf
SPRING:140,Synthesize,SPRING:6,term,Synthesis,7,indicatorOf
SPRING:141,Manage,SPRING:6,term,Synthesis,6,indicatorOf
SPRING:142,Tell,SPRING:6,term,Synthesis,3,counterIndicatorOf
SPRING:143,Write,SPRING:6,term,Synthesis,4,counterIndicatorOf
SPRING:144,Express,SPRING:6,term,Synthesis,5,counterIndicatorOf
SPRING:145,Tell,SPRING:6,term,Synthesis,4,counterIndicatorOf
SPRING:146,Rewrite,SPRING:6,term,Synthesis,5,counterIndicatorOf
SPRING:147,Summarize,SPRING:6,term,Synthesis,4,counterIndicatorOf
SPRING:148,Construct ,SPRING:6,term,Synthesis,5,counterIndicatorOf
SPRING:149,Appraise ,SPRING:7,term,Evaluation,9,indicatorOf
SPRING:150,Argue,SPRING:7,term,Evaluation,8,indicatorOf
SPRING:151,Assess,SPRING:7,term,Evaluation,7,indicatorOf
SPRING:152,Choose,SPRING:7,term,Evaluation,6,indicatorOf
SPRING:153,Compare,SPRING:7,term,Evaluation,8,indicatorOf
SPRING:154,Conclude,SPRING:7,term,Evaluation,6,indicatorOf
SPRING:155,Estimate,SPRING:7,term,Evaluation,7,indicatorOf
SPRING:156,Evaluate,SPRING:7,term,Evaluation,5,indicatorOf
SPRING:157,Interpret,SPRING:7,term,Evaluation,7,indicatorOf
SPRING:158,Judge,SPRING:7,term,Evaluation,9,indicatorOf
SPRING:159,Justify,SPRING:7,term,Evaluation,8,indicatorOf
SPRING:160,Measure,SPRING:7,term,Evaluation,6,indicatorOf
SPRING:161,Rate,SPRING:7,term,Evaluation,6,indicatorOf
SPRING:162,Revise,SPRING:7,term,Evaluation,5,indicatorOf
SPRING:163,Score,SPRING:7,term,Evaluation,8,indicatorOf
SPRING:164,Select,SPRING:7,term,Evaluation,6,counterIndicatorOf
SPRING:165,Support,SPRING:7,term,Evaluation,7,indicatorOf
SPRING:166,Value,SPRING:7,term,Evaluation,6,indicatorOf
SPRING:166,Attach,SPRING:7,term,Evaluation,7,indicatorOf
SPRING:167,Defend,SPRING:7,term,Evaluation,3,counterIndicatorOf
SPRING:168,Summarize,SPRING:7,term,Evaluation,3,counterIndicatorOf
SPRING:169,Interpret,SPRING:7,term,Evaluation,4,counterIndicatorOf
